"MIR_Site","SPECIES_CD","LIFE_STAGE","SOURCE","Id","IF_d5089","N_PRES","N_SURVEYS","PROP"
"Turtle Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",7338,64440123935256.1,1,1,1
"Elbow Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",8814,89153996184480,20,34,0.588235294117647
"Key Largo Dry Rocks","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",9064,3127954401421.94,7,11,0.636363636363636
"Horseshoe Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",9295,122371941907686,12,17,0.705882352941177
"French and Molasses Reefs","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",11066,283564984244619,18,56,0.321428571428571
"Davis Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",13218,42004322196513,11,18,0.611111111111111
"Hen and Chickens","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",13262,5730277064109.14,5,5,1
"Cheeca Rocks","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",13535,130991889557488,8,15,0.533333333333333
"Tennessee Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",19368,29712070071294.5,1,24,0.0416666666666667
"Coffins Patch","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",24429,10557722307684.7,4,13,0.307692307692308
"Sombrero Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",25904,164395867639521,13,34,0.382352941176471
"Looe Key Reef","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",27140,73685968732598.3,13,23,0.565217391304348
"Newfound Harbor","HAE SCIU","SUBADULT","REEF VISUAL CENSUS",27229,11933308326978724,7,16,0.4375
