"MIR_Site","SPECIES_CD","LIFE_STAGE","SOURCE","Id","IF_d7852","N_PRES","N_SURVEYS","PROP"
"Turtle Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",8137,29327164108718.4,1,1,1
"Elbow Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",9431,16683416973918.4,4,15,0.266666666666667
"Horseshoe Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",9475,14136469515970.1,2,6,0.333333333333333
"Key Largo Dry Rocks","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",9500,2444757614749.63,3,10,0.3
"French Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",10702,37010273684040.7,2,14,0.142857142857143
"Molasses Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",11161,26628032721183.8,4,21,0.19047619047619
"Hen and Chickens","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",12804,4506191767782.98,3,4,0.75
"Davis Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",12871,5566092639354.01,0,2,0
"Tennessee Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",15979,7444322658201.63,0,20,0
"Coffins Patch","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",18722,6777046099586.86,0,13,0
"Newfound Harbor","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",20483,49865211798654.6,2,10,0.2
"Sombrero Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",20618,42839357150839.7,7,22,0.318181818181818
"Looe Key Reef","LUT GRIS","SUBADULT","REEF VISUAL CENSUS",21144,6372906878508.65,6,18,0.333333333333333
